week,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina,Jim Gilmore,Lindsey Graham,Bobby Jindal,George Pataki,Rick Perry,Rick Santorum
1,6,5,11,11,17,16,11,15,1,14,2,8,7,4,10,3,9
2,9,10,16,12,17,14,13,15,1,11,2,8,3,4,6,5,7
3,9,7,14,11,17,15,13,16,1,12,2,10,5,8,6,4,3
4,9,10,11,12,17,13,15,16,1,14,2,8,4,3,7,6,5
5,9,10,12,15,17,14,11,16,1,13,2,8,3,4,6,7,5
6,9,10,13,11,17,14,12,15,2,16,3,8,1,6,7,5,4
7,4,5,10,11,16,13,9,15,1,12,2,16,3,7,13,6,8
8,4,6,11,10,17,13,8,14,1,12,2,16,3,7,15,5,9
9,4,5,12,8,17,14,9,13,1,11,2,16,3,7,15,6,10
10,4,5,10,9,16,14,11,13,2,12,1,17,3,7,15,6,8
11,4,5,8,10,17,14,9,15,1,12,2,16,3,7,13,6,11
12,3,4,11,7,16,13,9,14,1,12,2,17,5,7,15,6,10
13,3,4,9,6,15,14,10,13,1,5,2,17,7,11,16,8,12
14,5,3,9,4,12,11,6,7,1,10,2,17,8,15,16,13,14
15,6,5,4,8,14,9,3,7,1,10,2,17,11,13,16,12,15
16,3,4,9,5,11,7,8,6,1,10,2,17,12,14,16,13,15
17,4,3,7,2,11,10,6,5,1,9,8,17,12,14,16,12,15
18,5,6,10,4,11,3,7,2,1,9,8,17,14,13,16,12,15
19,6,2,5,3,11,8,4,7,1,9,10,17,14,13,16,12,15
20,3,2,6,10,11,5,8,4,1,7,9,17,14,13,16,12,15
21,7,3,9,10,6,8,5,2,1,11,4,17,14,13,16,12,15
